access_code,access_days_time,access_detail_code,cards_accepted,date_last_confirmed,expected_date,fuel_type_code,groups_with_access_code,id,maximum_vehicle_class,open_date,owner_type_code,restricted_access,status_code,facility_type,station_name,station_phone,updated_at,geocode_status,latitude,longitude,city,country,intersection_directions,plus4,state,street_address,zip,bd_blends,cng_dispenser_num,cng_fill_type_code,cng_has_rng,cng_psi,cng_renewable_source,cng_total_compression,cng_total_storage,cng_vehicle_class,e85_blender_pump,e85_other_ethanol_blends,ev_connector_types,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,ev_network,ev_network_web,ev_other_evse,ev_pricing,ev_renewable_source,ev_workplace_charging,hy_is_retail,hy_pressures,hy_standards,hy_status_link,lng_has_rng,lng_renewable_source,lng_vehicle_class,lpg_nozzle_types,lpg_primary,ng_fill_type_code,ng_psi,ng_vehicle_class,rd_blended_with_biodiesel,rd_blends,rd_blends_fr,rd_max_biodiesel_level,nps_unit_name,access_days_time_fr,intersection_directions_fr,bd_blends_fr,groups_with_access_code_fr,ev_pricing_fr,federal_agency,ev_network_ids
private,,,,2024-02-12,,ELEC,Private,44179,,2011-11-30,P,,E,CAR_DEALER,West-Herr Nissan,716-662-8008,2024-02-12T15:25:05Z,200-9,42.784867,-78.76558,Orchard Park,US,,,NY,3580 Southwestern Blvd,14127,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; contact 631-289-9100 for more information,CALL,,2024-02-12,,ELEC,Public - Call ahead,44180,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan 112,,2024-02-12T15:25:05Z,200-8,40.79315,-73.0083,Patchogue,US,Route 112,,NY,730 Route 112,11772,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44181,,2011-11-30,P,,E,CAR_DEALER,Nissan 112,,2024-02-12T15:25:05Z,200-8,40.79315,-73.0083,Patchogue,US,Route 112,,NY,730 Route 112,11772,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,,,,2024-02-12,,ELEC,Private,44183,,2011-11-30,P,,E,CAR_DEALER,Huttig Nissan,518-561-1210,2024-02-12T15:25:05Z,200-9,44.667361,-73.444894,Plattsburgh,US,,,NY,4670 State Route 9,12901,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44184,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan City - Port Chester,914-937-1777,2024-02-12T15:25:05Z,200-8,40.99631,-73.66936,Port Chester,US,,,NY,225 Boston Post Rd,10573,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44185,,2011-11-30,P,,E,CAR_DEALER,Nissan City - Port Chester,914-937-1777,2024-02-12T15:25:05Z,200-8,40.99631,-73.66936,Port Chester,US,,,NY,225 Boston Post Rd,10573,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44186,LD,2011-11-30,P,False,E,CAR_DEALER,Riverhead Auto Mall,631-369-0600,2024-02-12T15:25:05Z,200-8,40.92423,-72.70479,Riverhead,US,,,NY,1800 Old Country Rd,11901,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",2.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44187,LD,2011-11-30,P,,E,CAR_DEALER,Riverhead Auto Mall,631-369-0600,2024-02-12T15:25:05Z,200-8,40.92423,-72.70479,Riverhead,US,,,NY,1800 Old Country Rd,11901,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44188,LD,2011-11-30,P,False,E,CAR_DEALER,Dorschel Nissan,585-334-9440,2024-02-12T15:25:05Z,200-8,43.077581,-77.641934,Rochester,US,,,NY,3817 W Henrietta Rd,14623,,,,,,,,,,,,['J1772'],,,3.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44189,,2011-11-30,P,,E,CAR_DEALER,Dorschel Nissan,585-334-9440,2024-02-12T15:25:05Z,200-8,43.077581,-77.641934,Rochester,US,,,NY,3817 W Henrietta Rd,14623,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; contact 631-361-9696 for more information,CALL,,2024-02-12,,ELEC,Public - Call ahead,44190,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan of Smithtown,,2024-02-12T15:25:05Z,200-8,40.86019,-73.16156,St. James,US,,,NY,535 Middle Country Rd,11780,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44191,LD,2011-11-30,P,,E,CAR_DEALER,Nissan of Smithtown,,2024-02-12T15:25:05Z,200-8,40.86019,-73.16156,St. James,US,,,NY,535 Middle Country Rd,11780,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44192,LD,2011-11-30,P,False,E,CAR_DEALER,Lia Nissan,518-579-2000,2024-02-12T15:25:05Z,200-9,42.764517,-73.88522,Schenectady,US,,,NY,2233 Central Ave,12304,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44193,,2011-11-30,P,,E,CAR_DEALER,Lia Nissan,518-579-2000,2024-02-12T15:25:05Z,200-9,42.764517,-73.88522,Schenectady,US,,,NY,2233 Central Ave,12304,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,,,,2024-02-12,,ELEC,Private,44198,LD,2011-11-30,P,,E,CAR_DEALER,Legend Nissan,516-496-8181,2024-02-12T15:25:05Z,200-8,40.80991,-73.50773,Syosset,US,,,NY,268 Jericho Turnpike,11791,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44203,LD,2011-11-30,P,False,E,CAR_DEALER,Legend Nissan,516-496-8181,2024-02-12T15:25:05Z,200-8,40.80991,-73.50773,Syosset,US,,,NY,268 Jericho Turnpike,11791,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44204,LD,2011-11-30,P,False,E,CAR_DEALER,Serafini Nissan-Volvo,607-729-3511,2024-02-12T15:25:05Z,200-9,42.095812,-76.003703,Vestal,US,,,NY,3101 Vestal Pkwy E,13850,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44205,,2011-11-30,P,,E,CAR_DEALER,Serafini Nissan-Volvo,607-729-3511,2024-02-12T15:25:05Z,200-9,42.095812,-76.003703,Vestal,US,,,NY,3101 Vestal Pkwy E,13850,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44206,LD,2011-11-30,P,False,E,CAR_DEALER,Poughkeepsie Nissan,845-297-4314,2024-02-12T15:25:05Z,200-9,41.587383,-73.908392,Wappingers Falls,US,,,NY,1445 Route 9,12590,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44207,,2011-11-30,P,,E,CAR_DEALER,Poughkeepsie Nissan,845-297-4314,2024-02-12T15:25:05Z,200-9,41.587383,-73.908392,Wappingers Falls,US,,,NY,1445 Route 9,12590,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44208,,2011-11-30,P,False,E,CAR_DEALER,Vision Nissan,585-787-2000,2024-02-12T15:25:05Z,200-9,43.204065,-77.478237,Webster,US,,,NY,785 Ridge Rd,14580,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44209,,2011-11-30,P,,E,CAR_DEALER,Vision Nissan,585-787-2000,2024-02-12T15:25:05Z,200-9,43.204065,-77.478237,Webster,US,,,NY,785 Ridge Rd,14580,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44212,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan of Westbury,516-338-5600,2024-02-12T15:25:05Z,200-8,40.75447,-73.56217,Westbury,US,,,NY,939 Old Country Rd,11590,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44213,LD,2011-11-30,P,,E,CAR_DEALER,Nissan of Westbury,516-338-5600,2024-02-12T15:25:05Z,200-8,40.75447,-73.56217,Westbury,US,,,NY,939 Old Country Rd,11590,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44216,,2011-11-30,P,False,E,CAR_DEALER,West Herr Nissan - Williamsville,877-813-5387,2024-02-12T15:25:05Z,GPS,42.96275,-78.691132,Williamsville,US,,,NY,8137 Main St,14221,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44218,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan of Yorktown Heights,914-737-3500,2024-02-12T15:25:05Z,GPS,41.28939710701883,-73.83674804431915,Yorktown Heights,US,,,NY,3495 Old Crompond Rd,10598,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44219,LD,2011-11-30,P,,E,CAR_DEALER,Nissan of Yorktown Heights,914-737-3500,2024-02-12T15:25:05Z,GPS,41.28939710701883,-73.83674804431915,Yorktown Heights,US,,,NY,3495 Old Crompond Rd,10598,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44317,,2011-11-30,P,False,E,CAR_DEALER,Destination Nissan,518-438-8461,2024-02-12T15:25:05Z,200-9,42.676971,-73.787334,Albany,US,,,NY,770 Central Ave,12206,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44318,,2011-11-30,P,,E,CAR_DEALER,Destination Nissan,518-438-8461,2024-02-12T15:25:05Z,200-9,42.676971,-73.787334,Albany,US,,,NY,770 Central Ave,12206,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44319,LD,2011-11-30,P,False,E,CAR_DEALER,Mike Barney Nissan,716-833-9888,2024-02-12T15:25:05Z,200-9,42.979725,-78.797346,Amherst,US,,,NY,3676 Sheridan Dr,14226,,,,,,,,,,,,['J1772'],,,2.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44321,,2011-11-30,P,False,E,CAR_DEALER,Lebrun Nissan,315-253-7700,2024-02-12T15:25:05Z,200-9,42.966894,-76.535879,Auburn,US,,,NY,396 Grant Ave,13021,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44323,LD,2011-11-30,P,False,E,CAR_DEALER,Star Nissan,718-423-0500,2024-02-12T15:25:05Z,200-8,40.758245,-73.776954,Bayside,US,,,NY,20602 Northern Blvd,11361,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44324,,2011-11-30,P,,E,CAR_DEALER,Star Nissan,718-423-0500,2024-02-12T15:25:05Z,200-8,40.758245,-73.776954,Bayside,US,,,NY,20602 Northern Blvd,11361,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44325,LD,2011-11-30,P,False,E,CAR_DEALER,Rockland Nissan,845-358-6700,2024-02-12T15:25:05Z,200-9,41.071072,-73.950866,Blauvelt,US,,,NY,608 Route 303,10913,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44326,,2011-11-30,P,,E,CAR_DEALER,Rockland Nissan,845-358-6700,2024-02-12T15:25:05Z,200-9,41.071072,-73.950866,Blauvelt,US,,,NY,608 Route 303,10913,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,,,,2024-02-12,,ELEC,Private,44328,,2011-11-30,P,,E,CAR_DEALER,Bay Ridge Nissan,718-238-8000,2024-02-12T15:25:05Z,200-9,40.636324,-74.019228,Brooklyn,US,,,NY,6501 5th Ave,11220,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; Nissan vehicle use only,CALL,,2024-02-12,,ELEC,Public - Call ahead,44329,LD,2011-11-30,P,True,E,CAR_DEALER,Kings Nissan,718-376-0538,2024-02-12T15:25:05Z,200-9,40.589167,-73.960707,Brooklyn,US,,,NY,2758 Coney Island Ave,11235,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44330,,2011-11-30,P,,E,CAR_DEALER,Kings Nissan,718-376-0538,2024-02-12T15:25:05Z,200-9,40.589167,-73.960707,Brooklyn,US,,,NY,2758 Coney Island Ave,11235,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44331,LD,2011-11-30,P,False,E,CAR_DEALER,Burdick Nissan,315-458-8915,2024-02-12T15:25:05Z,200-9,43.147147,-76.114274,Cicero,US,,,NY,5885 E Circle Dr,13039,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44332,,2011-11-30,P,,E,CAR_DEALER,Burdick Nissan,315-458-8915,2024-02-12T15:25:05Z,200-9,43.147147,-76.114274,Cicero,US,,,NY,5885 E Circle Dr,13039,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44333,LD,2011-11-30,P,False,E,CAR_DEALER,Hoselton Nissan,585-385-3560,2024-02-12T15:25:05Z,200-9,43.100001,-77.481422,East Rochester,US,,,NY,66 Marsh Rd,14445,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44334,,2011-11-30,P,,E,CAR_DEALER,Hoselton Nissan,585-385-3560,2024-02-12T15:25:05Z,200-9,43.100001,-77.481422,East Rochester,US,,,NY,66 Marsh Rd,14445,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44336,LD,2011-11-30,P,False,E,CAR_DEALER,Rockaway Nissan,516-239-0100,2024-02-12T15:25:05Z,200-9,40.622268,-73.742699,Inwood,US,,,NY,600 Burnside Ave,11096,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44337,,2011-11-30,P,,E,CAR_DEALER,Rockaway Nissan,516-239-0100,2024-02-12T15:25:05Z,200-9,40.622268,-73.742699,Inwood,US,,,NY,600 Burnside Ave,11096,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
private,,,,2024-02-12,,ELEC,Private,44339,,2011-11-30,P,,E,CAR_DEALER,Maguire Family of Dealerships,607-272-8000,2024-02-12T15:25:05Z,200-9,42.435042,-76.5088,Ithaca,US,,,NY,504 S Meadow St,14850,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours,CALL,,2024-02-12,,ELEC,Public - Call ahead,44344,LD,2011-11-30,P,False,E,CAR_DEALER,Treiber Nissan,518-736-1300,2024-02-12T15:25:05Z,200-9,43.025044,-74.358103,Johnstown,US,,,NY,320 N Comrie Ave,12095,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44345,,2011-11-30,P,,E,CAR_DEALER,Treiber Nissan,518-736-1300,2024-02-12T15:25:05Z,200-9,43.025044,-74.358103,Johnstown,US,,,NY,320 N Comrie Ave,12095,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; contact 516-483-4400 for more information,CALL,,2024-02-12,,ELEC,Public - Call ahead,44346,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan - Garden City,,2024-02-12T15:25:05Z,GPS,40.71693,-73.630152,Hempstead,US,,,NY,316 N Franklin St,11550,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44347,LD,2011-11-30,P,,E,CAR_DEALER,Nissan - Garden City,,2024-02-12T15:25:05Z,GPS,40.71693,-73.630152,Hempstead,US,,,NY,316 N Franklin St,11550,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; contact 607-398-6666 for more information,CALL,,2024-02-12,,ELEC,Public - Call ahead,44348,LD,2011-11-30,P,False,E,CAR_DEALER,Simmons Rockwell Nissan,,2024-02-12T15:25:05Z,200-8,42.16262,-76.86773,Horseheads,US,,,NY,224 Colonial Dr,14845,,,,,,,,,,,,"['CHADEMO', 'J1772', 'J1772COMBO']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44349,LD,2011-11-30,P,,E,CAR_DEALER,Simmons Rockwell Nissan,,2024-02-12T15:25:05Z,200-8,42.16262,-76.86773,Horseheads,US,,,NY,224 Colonial Dr,14845,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
public,Dealership business hours; contact 631-439-7000 for more information,CALL,,2024-02-12,,ELEC,Public - Call ahead,44350,LD,2011-11-30,P,False,E,CAR_DEALER,Nissan - Huntington,,2024-02-12T15:25:05Z,200-8,40.83414,-73.37998,Huntington Station,US,,,NY,850 E Jericho Turnpike,11746,,,,,,,,,,,,"['CHADEMO', 'J1772']",1.0,,1.0,Non-Networked,,,Free,,False,,,,,,,,,,,,,,,,,,,,,Public - Appeler à l'avance,,,
private,,,,2024-02-12,,ELEC,Private,44351,LD,2011-11-30,P,,E,CAR_DEALER,Nissan - Huntington,,2024-02-12T15:25:05Z,200-8,40.83414,-73.37998,Huntington Station,US,,,NY,850 E Jericho Turnpike,11746,,,,,,,,,,,,['J1772'],,,1.0,Non-Networked,,,,,False,,,,,,,,,,,,,,,,,,,,,Privé,,,
